"state","stateLabel","capitalLabel","population","area","categories"
"http://dbpedia.org/resource/New_Hampshire","New Hampshire","Concord, New Hampshire",,24216000000.0,"1788 establishments in the United States, Contiguous United States, New England states, New Hampshire, Northeastern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/New_Jersey","New Jersey",,,8722580000.0,"1787 establishments in New Jersey, Contiguous United States, Mid-Atlantic states, New Jersey, Northeastern United States, States and territories established in 1787, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/New_Jersey","New Jersey",,,22591380000.0,"1787 establishments in New Jersey, Contiguous United States, Mid-Atlantic states, New Jersey, Northeastern United States, States and territories established in 1787, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/New_Mexico","New Mexico",,,121591000000.0,"1912 establishments in New Mexico, Contiguous United States, Former Spanish colonies, New Mexico, Southwestern United States, States and territories established in 1912, States of the United States"
"http://dbpedia.org/resource/New_Mexico","New Mexico",,,314915000000.0,"1912 establishments in New Mexico, Contiguous United States, Former Spanish colonies, New Mexico, Southwestern United States, States and territories established in 1912, States of the United States"
"http://dbpedia.org/resource/North_Carolina","North Carolina","Raleigh, North Carolina",,53819000000.0,"Contiguous United States, North Carolina, Southeastern United States, Southern United States, Spanish colonization of the Americas, State of Franklin, States and territories established in 1789, States of the Confederate States of America, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/North_Carolina","North Carolina","Raleigh, North Carolina",,139391000000.0,"Contiguous United States, North Carolina, Southeastern United States, Southern United States, Spanish colonization of the Americas, State of Franklin, States and territories established in 1789, States of the Confederate States of America, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/North_Dakota","North Dakota","Bismarck, North Dakota",,70706000000.0,"1889 establishments in the United States, Contiguous United States, Midwestern United States, North Dakota, States and territories established in 1889, States of the United States"
"http://dbpedia.org/resource/North_Dakota","North Dakota","Bismarck, North Dakota",,183125000000.0,"1889 establishments in the United States, Contiguous United States, Midwestern United States, North Dakota, States and territories established in 1889, States of the United States"
"http://dbpedia.org/resource/Ohio","Ohio","Columbus, Ohio",,116096000000.0,"1803 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Former French colonies, Midwestern United States, Ohio, States and territories established in 1803, States of the United States"
"http://dbpedia.org/resource/Ohio","Ohio","Columbus, Ohio",,44825000000.0,"1803 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Former French colonies, Midwestern United States, Ohio, States and territories established in 1803, States of the United States"
"http://dbpedia.org/resource/Oklahoma","Oklahoma",,,69699000000.0,"1907 establishments in the United States, Contiguous United States, Oklahoma, South Central United States, Southern United States, States and territories established in 1907, States of the United States"
"http://dbpedia.org/resource/Oklahoma","Oklahoma",,,180519000000.0,"1907 establishments in the United States, Contiguous United States, Oklahoma, South Central United States, Southern United States, States and territories established in 1907, States of the United States"
"http://dbpedia.org/resource/Oregon","Oregon","Salem, Oregon",,98381000000.0,"1859 establishments in the United States, Contiguous United States, Geography of the Pacific Northwest, Oregon, States and territories established in 1859, States of the United States, States of the West Coast of the United States"
"http://dbpedia.org/resource/Oregon","Oregon","Salem, Oregon",,254806000000.0,"1859 establishments in the United States, Contiguous United States, Geography of the Pacific Northwest, Oregon, States and territories established in 1859, States of the United States, States of the West Coast of the United States"
"http://dbpedia.org/resource/Pennsylvania","Pennsylvania","Harrisburg, Pennsylvania",,46055000000.0,"1787 establishments in the United States, Articles containing video clips, Contiguous United States, Mid-Atlantic states, Northeastern United States, Pennsylvania, States and territories established in 1787, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Pennsylvania","Pennsylvania","Harrisburg, Pennsylvania",,119283000000.0,"1787 establishments in the United States, Articles containing video clips, Contiguous United States, Mid-Atlantic states, Northeastern United States, Pennsylvania, States and territories established in 1787, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/South_Carolina","South Carolina","Columbia, South Carolina",,82932700000.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, South Carolina, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/South_Carolina","South Carolina","Columbia, South Carolina",,32020490000.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, South Carolina, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/South_Dakota","South Dakota","Pierre, South Dakota",,199729000000.0,"1889 establishments in the United States, Contiguous United States, Former French colonies, Midwestern United States, South Dakota, States and territories established in 1889, States of the United States"
"http://dbpedia.org/resource/South_Dakota","South Dakota","Pierre, South Dakota",,77116000000.0,"1889 establishments in the United States, Contiguous United States, Former French colonies, Midwestern United States, South Dakota, States and territories established in 1889, States of the United States"
"http://dbpedia.org/resource/Tennessee","Tennessee",,,42181000000.0,"1796 establishments in the United States, Contiguous United States, Southern United States, State of Franklin, States and territories established in 1796, States of the Confederate States of America, States of the United States, Tennessee"
"http://dbpedia.org/resource/Tennessee","Tennessee",,,109247000000.0,"1796 establishments in the United States, Contiguous United States, Southern United States, State of Franklin, States and territories established in 1796, States of the Confederate States of America, States of the United States, Tennessee"
"http://dbpedia.org/resource/Texas","Texas",,,695662000000.0,"1845 establishments in the United States, Contiguous United States, Former Spanish colonies, Southern United States, States and territories established in 1845, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States, Texas"
"http://dbpedia.org/resource/Texas","Texas",,,268596000000.0,"1845 establishments in the United States, Contiguous United States, Former Spanish colonies, Southern United States, States and territories established in 1845, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States, Texas"
"http://dbpedia.org/resource/Utah","Utah",,,219887000000.0,"1896 establishments in the United States, Contiguous United States, Former Spanish colonies, States and territories established in 1896, States of the United States, Utah, Western United States"
"http://dbpedia.org/resource/Utah","Utah",,,84899000000.0,"1896 establishments in the United States, Contiguous United States, Former Spanish colonies, States and territories established in 1896, States of the United States, Utah, Western United States"
"http://dbpedia.org/resource/Vermont","Vermont","Montpelier, Vermont",,24923000000.0,"1791 establishments in the United States, Contiguous United States, New England states, Northeastern United States, States and territories established in 1791, States of the United States, Vermont"
"http://dbpedia.org/resource/Virginia","Virginia",,,42774200000.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Mid-Atlantic states, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States, Virginia"
"http://dbpedia.org/resource/Virginia","Virginia",,,110785670000.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Mid-Atlantic states, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States, Virginia"
"http://dbpedia.org/resource/West_Virginia","West Virginia","Charleston, West Virginia",,62755000000.0,"1863 establishments in Virginia, Contiguous United States, Geography of Appalachia, Mid-Atlantic states, Southern United States, States and territories established in 1863, States of the United States, West Virginia"
"http://dbpedia.org/resource/West_Virginia","West Virginia","Charleston, West Virginia",,24230000000.0,"1863 establishments in Virginia, Contiguous United States, Geography of Appalachia, Mid-Atlantic states, Southern United States, States and territories established in 1863, States of the United States, West Virginia"
"http://dbpedia.org/resource/Wisconsin","Wisconsin","Madison, Wisconsin",,169640000000.0,"1848 establishments in the United States, Contiguous United States, Midwestern United States, States and territories established in 1848, States of the United States, Wisconsin"
"http://dbpedia.org/resource/Wisconsin","Wisconsin","Madison, Wisconsin",,65498370000.0,"1848 establishments in the United States, Contiguous United States, Midwestern United States, States and territories established in 1848, States of the United States, Wisconsin"
"http://dbpedia.org/resource/Wyoming","Wyoming",,,97813000000.0,"1890 establishments in the United States, Contiguous United States, States and territories established in 1890, States of the United States, Western United States, Wyoming"
"http://dbpedia.org/resource/Wyoming","Wyoming",,,253335000000.0,"1890 establishments in the United States, Contiguous United States, States and territories established in 1890, States of the United States, Western United States, Wyoming"
